core_id,study_id,latitude,longitude,ecosystem,depth_cm_midpoint,thickness_cm,soc_harmonized,bd_harmonized,carbon_stock_kg_m2,data_source,elevationRelMHW,elevation_m,slope,VH_mean,VVVH_ratio,VV_mean,B,EVI_median,G,LSWI_median,NDBI_median,NDVI_median,NIR,R,SAVI_median,SWIR1,SWIR2,brightness,greenness,mNDWI_median,wetness
3_586,3,48.32825,-122.50154,FL,7.5,15,4.78125,1.578046875,1.1317554931640623,global,-0.5,0,0.0,-29.20918489343924,7.850260138178346,-21.358924755260894,0.3384000062942505,-0.0801640394799727,0.2930000126361847,0.2023911082697245,-0.2023911082697245,-0.02963472334160651,0.2815999984741211,0.298799991607666,-0.023880035113999123,0.1868000030517578,0.10530000180006027,0.5981505724944174,-0.129449421480298,0.2213422386661579,0.1217676171779633
3_586,3,48.32825,-122.50154,FL,22.5,15,6.44140625,1.429296875,1.3810022735595704,global,-0.5,0,0.0,-29.20918489343924,7.850260138178346,-21.358924755260894,0.3384000062942505,-0.0801640394799727,0.2930000126361847,0.2023911082697245,-0.2023911082697245,-0.02963472334160651,0.2815999984741211,0.298799991607666,-0.023880035113999123,0.1868000030517578,0.10530000180006027,0.5981505724944174,-0.129449421480298,0.2213422386661579,0.1217676171779633
3_586,3,48.32825,-122.50154,FL,40.0,20,6.40625,1.43375,1.8369921875,global,-0.5,0,0.0,-29.20918489343924,7.850260138178346,-21.358924755260894,0.3384000062942505,-0.0801640394799727,0.2930000126361847,0.2023911082697245,-0.2023911082697245,-0.02963472334160651,0.2815999984741211,0.298799991607666,-0.023880035113999123,0.1868000030517578,0.10530000180006027,0.5981505724944174,-0.129449421480298,0.2213422386661579,0.1217676171779633
3_586,3,48.32825,-122.50154,FL,75.0,50,27.5,1.2362516116697182,16.998459660458625,global,-0.5,0,0.0,-29.20918489343924,7.850260138178346,-21.358924755260894,0.3384000062942505,-0.0801640394799727,0.2930000126361847,0.2023911082697245,-0.2023911082697245,-0.02963472334160651,0.2815999984741211,0.298799991607666,-0.023880035113999123,0.1868000030517578,0.10530000180006027,0.5981505724944174,-0.129449421480298,0.2213422386661579,0.1217676171779633
3_587,3,48.30213,-122.44812,SG,7.5,15,9.1953125,1.20546875,1.662699279785156,global,-0.5,0,0.0,-29.529938385967377,8.801288860482742,-20.728649525484634,0.2513999938964844,0.031974309938109916,0.22419999539852142,0.05607821177912289,-0.05607821177912289,0.017539763033823794,0.21610000729560852,0.20864999294281006,0.012084370398828391,0.19314999878406525,0.17319999635219574,0.48904977129101757,-0.09804371746629473,0.07439798022585355,0.0076355958744883795
3_587,3,48.30213,-122.44812,SG,22.5,15,7.72265625,1.5011718749999998,1.738955154418945,global,-0.5,0,0.0,-29.529938385967377,8.801288860482742,-20.728649525484634,0.2513999938964844,0.031974309938109916,0.22419999539852142,0.05607821177912289,-0.05607821177912289,0.017539763033823794,0.21610000729560852,0.20864999294281006,0.012084370398828391,0.19314999878406525,0.17319999635219574,0.48904977129101757,-0.09804371746629473,0.07439798022585355,0.0076355958744883795
3_587,3,48.30213,-122.44812,SG,40.0,20,8.46875,1.42,2.405125,global,-0.5,0,0.0,-29.529938385967377,8.801288860482742,-20.728649525484634,0.2513999938964844,0.031974309938109916,0.22419999539852142,0.05607821177912289,-0.05607821177912289,0.017539763033823794,0.21610000729560852,0.20864999294281006,0.012084370398828391,0.19314999878406525,0.17319999635219574,0.48904977129101757,-0.09804371746629473,0.07439798022585355,0.0076355958744883795
3_587,3,48.30213,-122.44812,SG,75.0,50,13.5,1.41,9.5175,global,-0.5,0,0.0,-29.529938385967377,8.801288860482742,-20.728649525484634,0.2513999938964844,0.031974309938109916,0.22419999539852142,0.05607821177912289,-0.05607821177912289,0.017539763033823794,0.21610000729560852,0.20864999294281006,0.012084370398828391,0.19314999878406525,0.17319999635219574,0.48904977129101757,-0.09804371746629473,0.07439798022585355,0.0076355958744883795
3_588,3,48.30213,-122.44812,FL,7.5,15,11.89453125,1.241796875,2.2155887603759763,global,-0.5,0,0.0,-29.529938385967377,8.801288860482742,-20.728649525484634,0.2513999938964844,0.031974309938109916,0.22419999539852142,0.05607821177912289,-0.05607821177912289,0.017539763033823794,0.21610000729560852,0.20864999294281006,0.012084370398828391,0.19314999878406525,0.17319999635219574,0.48904977129101757,-0.09804371746629473,0.07439798022585355,0.0076355958744883795
3_588,3,48.30213,-122.44812,FL,22.5,15,7.5,1.46734375,1.6507617187499997,global,-0.5,0,0.0,-29.529938385967377,8.801288860482742,-20.728649525484634,0.2513999938964844,0.031974309938109916,0.22419999539852142,0.05607821177912289,-0.05607821177912289,0.017539763033823794,0.21610000729560852,0.20864999294281006,0.012084370398828391,0.19314999878406525,0.17319999635219574,0.48904977129101757,-0.09804371746629473,0.07439798022585355,0.0076355958744883795
