profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year,first,elevation_m,slope,elevationRelMHW,twi,dist_to_channel_m,tidal_flat_prob,coastal_dist_m,VV_mean,VH_mean,VVVH_ratio,B,G,R,B5,B6,B7,NIR,SWIR1,SWIR2,NDVI_median,LSWI_median,mNDWI_median,NDVI_stdDev,SAVI_median,tidal_wetness,MAT_C,MAP_mm
1017,Janousek,38.19966,-122.02824,100.0,8,44.753,0.53875,8.08125,,,0.11109715834759301,0,2.1975321769714355,-0.5,3.260402301649612,313.2091979980469,0,785.1751098632812,-11.165752409183321,-17.30353848222194,6.137786073038617,,,,,,,,,,,,,,,,16.17518115942029,518.6521739130435
1018,Janousek,38.19993,-122.02876,100.0,8,48.874,0.27625,20.88125,,,0.11537944179108343,-1,1.500716209411621,-1.5,3.642056625095718,331.36083984375,0,764.8529052734375,-12.017842224832519,-16.728246694766803,4.710404469934284,,,,,,,,,,,,,,,,16.17518115942029,518.6521739130435
1019,Janousek,38.19686,-122.02886,100.0,8,39.41925,0.6175,6.3,,,0.10452176517389784,3,1.1800124645233154,2.5,3.8825614082867483,30.0,0,563.6488037109375,-12.914830581429403,-18.661686357149673,5.74685577572027,,,,,,,,,,,,,,,,16.17518115942029,518.6521739130435
102,Janousek,44.6256,-124.0218,100.0,4,11.456,1.205,0.95,,,0.10274822225578599,0,0.0,-0.5,6.907755278982137,0.0,1,0.0,-20.719108691254412,-27.762591217844047,7.043482526589635,,,,,,,,,,,,,,,,11.11394927536232,1703.391304347826
1020,Janousek,38.19712,-122.02848,100.0,8,43.8395,0.375,13.40625,,,0.14752897966196962,3,2.5343923568725586,2.5,3.117621405428558,42.42640686035156,0,590.9314575195312,-13.35428133964815,-18.458192462826805,5.103911123178655,,,,,,,,,,,,,,,,16.17518115942029,518.6521739130435
1021,Janousek,38.19737,-122.02811,100.0,8,50.5905,0.47625,11.03125,,,0.1266723841825428,0,2.999305486679077,-0.5,2.9489330401395404,108.16654205322266,0,657.9513549804688,-12.001082631822339,-17.398596734580792,5.3975141027584534,,,,,,,,,,,,,,,,16.17518115942029,518.6521739130435
1022,Janousek,38.19745,-122.02761,100.0,8,60.239,0.5075000000000001,13.125,,,0.1094275622836813,1,1.500684380531311,0.5,3.6420778441506387,174.92855834960938,0,724.9827880859375,-12.152802740845255,-17.160264311149547,5.007461570304292,,,,,,,,,,,,,,,,16.17518115942029,518.6521739130435
1023,Janousek,37.9464,-122.41946,100.0,22,14.13015,1.376818181818182,1.0238636363636364,,,0.08745282899253712,9,13.552334785461426,8.5,1.4227723820105658,0.0,0,30.0,-18.890443377299093,-25.879757910509195,6.989314533210102,,,,,,,,,,,,,,,,15.904891304347824,760.8260869565217
1024,Janousek,37.94484,-122.41429,54.0,13,8.0382,1.3592307692307692,1.0942307692307691,,,0.05030517258416989,0,0.0,-0.5,6.907755278982137,0.0,1,0.0,-19.574330461258395,-26.668602997297736,7.094272536039341,,,,,,,,,,,,,,,,15.904891304347824,760.8260869565217
1025,Janousek,37.94499,-122.4144,98.0,21,12.7734,1.328095238095238,1.0083333333333333,,,0.05030517258416989,0,6.464860916137695,-0.5,2.1775898961296303,0.0,1,0.0,-19.574330461258395,-26.668602997297736,7.094272536039341,,,,,,,,,,,,,,,,15.904891304347824,760.8260869565217
