profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year
279,Janousek,46.3051,-123.6924,100,4,13.5925,0.53,3.65,NA,NA
28,Janousek,49.66513,-124.91967,50,21,2.6417,1.6885714285714286,0.3666666666666667,NA,NA
280,Janousek,46.3053,-123.6924,100,4,19.335,0.62,3.5,NA,NA
281,Janousek,46.3055,-123.6924,100,4,16.129,0.6075,3.175,NA,NA
282,Janousek,46.3057,-123.6924,100,4,19.407,0.5725,4.275,NA,NA
283,Janousek,46.3071,-123.691,100,4,29.380500000000005,0.47500000000000003,6.375,NA,NA
284,Janousek,46.307,-123.6907,100,4,19.2665,0.6025,4.4,NA,NA
285,Janousek,46.3069,-123.6905,100,4,20.1125,0.79,3.325,NA,NA
286,Janousek,46.3065,-123.6898,100,4,21.027,0.7625,2.95,NA,NA
287,Janousek,46.3065,-123.6895,100,4,46.5475,0.44,8.325,NA,NA
288,Janousek,46.3064,-123.6893,100,4,38.8485,0.5025,7.3,NA,NA
289,Janousek,46.3051,-123.695,100,5,8.6465,1.048,0.96,NA,NA
29,Janousek,49.65162,-124.93242,50,21,8.7055,1.67,0.9476190476190476,NA,NA
290,Janousek,46.3053,-123.695,100,5,12.2435,1.006,1.1800000000000002,NA,NA
291,Janousek,46.3054,-123.695,100,4,7.5815,0.81,1.35,NA,NA
292,Janousek,46.3056,-123.6951,100,5,19.66,0.896,1.98,NA,NA
293,Janousek,46.3058,-123.6951,100,4,19.7835,0.895,2.3,NA,NA
294,Janousek,46.306,-123.6951,100,5,25.035,0.8420000000000001,3.32,NA,NA
295,Janousek,48.0817,-123.0463,30,24,13.8866,0.53375,10.53125,NA,NA
296,Janousek,47.0967,-122.7006,30,27,6.0767500000000005,0.0637037037037037,33.24814814814815,NA,NA
297,Janousek,47.0965,-122.7015,49,35,11.218449999999999,0.7057142857142857,3.7485714285714287,NA,NA
299,Janousek,47.0951,-122.7018,49,42,13.9034,0.43547619047619046,6.898809523809524,NA,NA
3,Janousek,38.2023,-122.0274,30,5,13.32225,0.246,19.435,NA,NA
30,Janousek,48.549,-122.501,50,23,9.5724,0.9291304347826087,2.1826086956521737,NA,NA
300,Janousek,48.505,-122.483,23,22,4.24355,1.779090909090909,1.0386363636363636,NA,NA
301,Janousek,46.862,-124.0897,31,31,3.4063,0.13096774193548388,7.9790322580645165,NA,NA
302,Janousek,43.293,-124.325,34,34,2.2644,0.15205882352941177,6.357352941176471,NA,NA
305,Janousek,48.5056,-122.4829,30,29,10.09465,0.4627586206896552,8.132758620689655,NA,NA
307,Janousek,45.37375,-123.96478,50,25,16.7371,0.6335999999999999,5.584,NA,NA
308,Janousek,45.37372,-123.96342,50,25,21.396,0.382,11.236,NA,NA
309,Janousek,45.37236,-123.96444,50,25,22.1361,0.6836,6.732,NA,NA
31,Janousek,48.549,-122.509,50,19,3.9371,1.3273684210526315,0.6052631578947368,NA,NA
310,Janousek,45.37272,-123.96578,50,25,20.54055,0.4212,11.714,NA,NA
311,Janousek,45.37215,-123.96429,50,25,21.4424,0.3172,14.346,NA,NA
312,Janousek,45.37126,-123.96524,50,25,21.4058,0.4588,11.166,NA,NA
313,Janousek,45.36999,-123.96613,50,25,25.07875,0.3448,15.521,NA,NA
314,Janousek,45.36907,-123.96666,50,25,20.5944,0.3992,11.21,NA,NA
315,Janousek,45.36942,-123.96323,50,25,27.6104,0.3432,17.344,NA,NA
316,Janousek,45.37128,-123.96183,50,25,23.76685,0.3536,13.553,NA,NA
317,Janousek,45.37168,-123.96127,50,25,11.9706,0.6492,3.732,NA,NA
318,Janousek,45.37317,-123.96287,50,25,9.844100000000001,0.864,2.5949999999999998,NA,NA
319,Janousek,45.37262,-123.96335,50,25,23.7073,0.432,11.866999999999999,NA,NA
32,Janousek,48.549,-122.514,50,23,6.0632,1.381304347826087,0.8804347826086957,NA,NA
320,Janousek,45.36804,-123.96238,50,25,34.3243,0.3912,17.934,NA,NA
321,Janousek,45.3673,-123.96271,50,25,34.6696,0.3804,18.774,NA,NA
322,Janousek,45.3661,-123.96595,50,25,30.534100000000002,0.3868,16.078,NA,NA
323,Janousek,45.37075,-123.95888,50,25,28.928250000000002,0.3876,15.483,NA,NA
324,Janousek,45.37054,-123.95982,50,25,15.22375,0.7652,4.237,NA,NA
325,Janousek,44.42655,-124.03931,50,24,21.6804,0.36583333333333334,12.027083333333334,NA,NA
326,Janousek,44.42834,-124.04073,50,25,26.2063,0.4524,12.01,NA,NA
327,Janousek,44.4292,-124.04055,50,25,15.1402,0.93,3.274,NA,NA
328,Janousek,44.42488,-124.03357,50,25,18.03295,0.7848,4.789,NA,NA
329,Janousek,44.4238,-124.03346,50,25,23.89585,0.4844,10.415,NA,NA
